X,ID,køn,Political_Orientation,word_id,n,n_doc
2,2,Begge,Right-winged,1012,95,62
2,2,Begge,Right-winged,1275,28,23
2,2,Begge,Right-winged,990,92,63
2,2,Begge,Right-winged,1288,174,54
2,2,Begge,Right-winged,785,49,34
2,2,Begge,Right-winged,1275,28,23
2,2,Begge,Right-winged,567,14,8
2,2,Begge,Right-winged,969,8,6
2,2,Begge,Right-winged,397,58,42
2,2,Begge,Right-winged,969,8,6
2,2,Begge,Right-winged,1063,6,5
2,2,Begge,Right-winged,327,164,78
2,2,Begge,Right-winged,928,59,39
2,2,Begge,Right-winged,390,116,51
2,2,Begge,Right-winged,808,15,12
2,2,Begge,Right-winged,990,92,63
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,1183,124,63
2,2,Begge,Right-winged,588,20,16
2,2,Begge,Right-winged,256,35,19
2,2,Begge,Right-winged,637,14,14
2,2,Begge,Right-winged,579,25,23
2,2,Begge,Right-winged,699,95,67
2,2,Begge,Right-winged,1183,124,63
2,2,Begge,Right-winged,395,165,92
2,2,Begge,Right-winged,1183,124,63
2,2,Begge,Right-winged,444,219,107
2,2,Begge,Right-winged,84,14,7
2,2,Begge,Right-winged,395,165,92
2,2,Begge,Right-winged,1148,18,14
2,2,Begge,Right-winged,176,90,54
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,1132,46,35
2,2,Begge,Right-winged,1077,31,28
2,2,Begge,Right-winged,442,50,35
2,2,Begge,Right-winged,1135,5,5
2,2,Begge,Right-winged,1291,207,87
2,2,Begge,Right-winged,1227,41,29
2,2,Begge,Right-winged,962,35,27
2,2,Begge,Right-winged,1085,41,28
2,2,Begge,Right-winged,1183,124,63
2,2,Begge,Right-winged,755,103,48
2,2,Begge,Right-winged,1038,10,10
2,2,Begge,Right-winged,176,90,54
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,99,216,86
2,2,Begge,Right-winged,755,103,48
2,2,Begge,Right-winged,444,219,107
2,2,Begge,Right-winged,701,53,39
2,2,Begge,Right-winged,176,90,54
2,2,Begge,Right-winged,580,28,12
2,2,Begge,Right-winged,947,18,7
2,2,Begge,Right-winged,649,14,10
2,2,Begge,Right-winged,976,10,10
2,2,Begge,Right-winged,1249,34,23
2,2,Begge,Right-winged,99,216,86
